75 Murray Street Building,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/75-murray-st.jpg/250px-75-murray-st.jpg,1858 (1858),"75 Murray Street is between West Broadway and Greenwich street in Manhattan, New York. It is one of the earliest[2] as well as one of the few remaining cast iron façades created by James Bogardus. It was built in 1858.[3] The original tenants were Francis and John Hopkins, who had a glassware business.[4][5]",,Private,"[""Commercial buildings on the National Register of Historic Places in Manhattan"", ""Italianate architecture in New York"", ""Commercial buildings completed in 1858"", ""Landmarks in Manhattan"", ""New York Registered Historic Place stubs""]",,"75 Murray Street, Manhattan, New York City, New York","75 Murray Street is between West Broadway and Greenwich street in Manhattan, New York. It is one of the earliest[2] as well as one of the few remaining cast iron façades created by James Bogardus. It was built in 1858.[3] The original tenants were Francis and John Hopkins, who had a glassware business.[4][5]"
Admiral Dewey (tugboat),//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Helen_McAllister_jeh.jpg/250px-Helen_McAllister_jeh.jpg,1900,"The Admiral Dewey, also known as the Georgetown and today as the Helen McAllister, is a 113 feet (34 m)[2]tugboat built in 1900 at the Burlee Drydock in Port Richmond, New York. She was built with a 900 horsepower (670 kW) triple expansion compound steam engine which was replaced with a diesel engine after WWII. She towed coal barges to refuel ships in the harbor. In 1955, she was sold to a Charleston, South Carolina tugboat company. In the 1980s, the McAllister tugboat company of New York purchased the company and brought the renamed Helen McAllister back to New York harbor. She helped dock tall ships during Op Sail 1992.[3]After retirement, she was donated to the South Street Seaport Museum in Manhattan, New York in 2000. In 2012, the Helen McAllister was returned to McAllister Towing, and is currently in Mariner's Harbor, Staten Island.[4]",,Private,"[""Ships on the National Register of Historic Places in Manhattan"", ""South Street Seaport Museum"", ""1900 ships"", ""New York County, New York Registered Historic Place stubs""]",,"Pier 16, East River, New York, New York","The Admiral Dewey, also known as the Georgetown and today as the Helen McAllister, is a 113 feet (34 m)[2]tugboat built in 1900 at the Burlee Drydock in Port Richmond, New York. She was built with a 900 horsepower (670 kW) triple expansion compound steam engine which was replaced with a diesel engine after WWII. She towed coal barges to refuel ships in the harbor. In 1955, she was sold to a Charleston, South Carolina tugboat company. In the 1980s, the McAllister tugboat company of New York purchased the company and brought the renamed Helen McAllister back to New York harbor. She helped dock tall ships during Op Sail 1992.[3]After retirement, she was donated to the South Street Seaport Museum in Manhattan, New York in 2000. In 2012, the Helen McAllister was returned to McAllister Towing, and is currently in Mariner's Harbor, Staten Island.[4]"
African Burial Ground National Monument,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/African_Burial_Ground.jpg/284px-African_Burial_Ground.jpg,,"African Burial Ground National Monument at Duane Street and African Burial Ground Way (Elk Street) in the Civic Center district of Lower Manhattan, New York City preserves a site containing the remains of more than 400 Africans buried during the late 17th and 18th centuries in a portion of what was the largest colonial-era cemetery for people of African descent, some free, most enslaved. Historians estimate there may have been 15,000–20,000 burials in what was called the ""Negroes Burial Ground"" in the 1700s. The site's excavation and study was called ""the most important historic urban archeological project in the United States.""[5]The discovery highlighted the forgotten history of African slaves in colonial and federal New York City, who were integral to its development. By the American Revolutionary War, they constituted nearly a quarter of the population in the city, which had the second largest number of slaves in the nation after Charleston, South Carolina. Scholars and African-American civic activists joined to publicize the importance of the site and lobby for its preservation. In 1993 the site was designated a National Historic Landmark and in 2006 a National Monument.In 2003 Congress appropriated funds for a memorial at the site and directed redesign of the federal building to allow for this. A design competition attracted more than 60 proposals for a design. The memorial was dedicated in 2007 to commemorate the role of Africans and African Americans in colonial and federal New York City, and in United States history. A visitor center opened in 2010 to provide interpretation of the site and African-American history in New York.",,,"[""IUCN Category V"", ""African-American history in New York City"", ""African-American cemeteries"", ""Cemeteries in New York City"", ""Cemeteries on the National Register of Historic Places in Manhattan"", ""History of New York City"", ""National Park Service National Monuments in New York"", ""National Historic Landmarks in New York City"", ""Archaeological sites in New York"", ""Protected areas established in 2006"", ""Visitor attractions in Manhattan"", ""Cemeteries in Manhattan"", ""Five Points, Manhattan"", ""2006 establishments in New York"", ""Lower Manhattan"", ""Museums in Manhattan"", ""African American museums in New York"", ""History museums in New York""]",,,"African Burial Ground National Monument at Duane Street and African Burial Ground Way (Elk Street) in the Civic Center district of Lower Manhattan, New York City preserves a site containing the remains of more than 400 Africans buried during the late 17th and 18th centuries in a portion of what was the largest colonial-era cemetery for people of African descent, some free, most enslaved. Historians estimate there may have been 15,000–20,000 burials in what was called the ""Negroes Burial Ground"" in the 1700s. The site's excavation and study was called ""the most important historic urban archeological project in the United States.""[5]The discovery highlighted the forgotten history of African slaves in colonial and federal New York City, who were integral to its development. By the American Revolutionary War, they constituted nearly a quarter of the population in the city, which had the second largest number of slaves in the nation after Charleston, South Carolina. Scholars and African-American civic activists joined to publicize the importance of the site and lobby for its preservation. In 1993 the site was designated a National Historic Landmark and in 2006 a National Monument.In 2003 Congress appropriated funds for a memorial at the site and directed redesign of the federal building to allow for this. A design competition attracted more than 60 proposals for a design. The memorial was dedicated in 2007 to commemorate the role of Africans and African Americans in colonial and federal New York City, and in United States history. A visitor center opened in 2010 to provide interpretation of the site and African-American history in New York."
Ambrose (lightship),//upload.wikimedia.org/wikipedia/commons/thumb/3/36/WTM_tony_0114.jpg/275px-WTM_tony_0114.jpg,,"Lightship Ambrose was the name given to multiple lightships that served as the sentinel beacon marking Ambrose Channel, New York Harbor's main shipping channel.The first lightstation was established south of the Ambrose Channel off of Sandy Hook, NJ in 1823. From 1823 through 1967, several ships served the Ambrose Channel station; each was referred to as Lightship Ambrose and bore the station's name being painted on its side. In 1906, the lighship serving this station was relocated closer to the center of the Ambrose Channel.[1] On 24 August 1967, the Ambrose station lightship was replaced by a Texas Tower, the Ambrose Light.",,,"[""Museum ships in Massachusetts"", ""Museum ships in New York"", ""Lightship stations"", ""1952 ships"", ""South Street Seaport Museum""]",,,"Lightship Ambrose was the name given to multiple lightships that served as the sentinel beacon marking Ambrose Channel, New York Harbor's main shipping channel.The first lightstation was established south of the Ambrose Channel off of Sandy Hook, NJ in 1823. From 1823 through 1967, several ships served the Ambrose Channel station; each was referred to as Lightship Ambrose and bore the station's name being painted on its side. In 1906, the lighship serving this station was relocated closer to the center of the Ambrose Channel.[1] On 24 August 1967, the Ambrose station lightship was replaced by a Texas Tower, the Ambrose Light."
American Bank Note Company Building,//upload.wikimedia.org/wikipedia/commons/thumb/3/39/American_Bank_Note_Company_005.JPG/250px-American_Bank_Note_Company_005.JPG,1908,"The American Bank Note Company Building is a historical building located at 70 Broad Street, New York, New York (at the corner of Beaver Street, near Bowling Green in Financial District, Manhattan).",,,"[""Broad Street (Manhattan)"", ""Commercial buildings on the National Register of Historic Places in Manhattan"", ""Bank buildings on the National Register of Historic Places in New York"", ""Classical Revival architecture in New York"", ""Commercial buildings completed in 1908"", ""Landmarks in Manhattan"", ""New York County, New York Registered Historic Place stubs""]",,"70 Broad Street, New York, New York","The American Bank Note Company Building is a historical building located at 70 Broad Street, New York, New York (at the corner of Beaver Street, near Bowling Green in Financial District, Manhattan)."
American Stock Exchange,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Gnome_globe_current_event.svg/42px-Gnome_globe_current_event.svg.png,"1921, expanded in 1931[2]","NYSE MKT LLC, formerly known as the American Stock Exchange (AMEX), is an American stock exchange situated in New York City, New York. AMEX was previously a mutual organization, owned by its members. Until 1953, it was known as the New York Curb Exchange.[4]On January 17, 2008, NYSE Euronext announced it would acquire the AMEX for $260 million in stock; on October 1, 2008, NYSE Euronext completed the acquisition.[5] Before the closing of the acquisition, NYSE Euronext announced that the AMEX would be integrated with the Alternext European small-cap exchange and renamed the NYSE Alternext U.S.[6]In March 2009, NYSE Alternext U.S. was changed to NYSE Amex Equities. On May 10, 2012, NYSE Amex Equities changed its name to NYSE MKT LLC.[7]",,NYSE Euronext,"[""1921 establishments in New York"", ""Art Deco architecture in New York City"", ""Buildings and structures completed in 1921"", ""Buildings and structures on the National Register of Historic Places in Manhattan"", ""National Historic Landmarks in New York City"", ""New York Stock Exchange"", ""Self-regulatory organizations"", ""Stock exchanges in the United States""]",,"86 Trinity Place, Lower Manhattan, New York City[1]","NYSE MKT LLC, formerly known as the American Stock Exchange (AMEX), is an American stock exchange situated in New York City, New York. AMEX was previously a mutual organization, owned by its members. Until 1953, it was known as the New York Curb Exchange.[4]On January 17, 2008, NYSE Euronext announced it would acquire the AMEX for $260 million in stock; on October 1, 2008, NYSE Euronext completed the acquisition.[5] Before the closing of the acquisition, NYSE Euronext announced that the AMEX would be integrated with the Alternext European small-cap exchange and renamed the NYSE Alternext U.S.[6]In March 2009, NYSE Alternext U.S. was changed to NYSE Amex Equities. On May 10, 2012, NYSE Amex Equities changed its name to NYSE MKT LLC.[7]"
American Thread Building,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/American_Thread_Building.jpg/250px-American_Thread_Building.jpg,1896,"The American Thread Building is a historic building located at 260 West Broadway (Manhattan) West Broadway in the TriBeCa neighborhood in lower Manhattan, New York, NY. The eleven story building was designed in the renaissance revival style by architect William B. Tubby, and built in 1896. It was originally known as the Wool Exchange Building, and owned by the Wool Warehouse Company.The wool company did not succeed and the building was acquired by the American Thread Company in 1907.[2]The building was renovated into live/work lofts in 1981.[3] It was added to the National Register of Historic Places on January 20, 2005.",,Private,"[""Residential buildings on the National Register of Historic Places in Manhattan"", ""Renaissance Revival architecture in New York"", ""Commercial buildings completed in 1896"", ""New York County, New York Registered Historic Place stubs""]",,"260 W. Broadway, New York, New York","The American Thread Building is a historic building located at 260 West Broadway (Manhattan) West Broadway in the TriBeCa neighborhood in lower Manhattan, New York, NY. The eleven story building was designed in the renaissance revival style by architect William B. Tubby, and built in 1896. It was originally known as the Wool Exchange Building, and owned by the Wool Warehouse Company.The wool company did not succeed and the building was acquired by the American Thread Company in 1907.[2]The building was renovated into live/work lofts in 1981.[3] It was added to the National Register of Historic Places on January 20, 2005."
Astor Place Station,,,"",,,[],,,""
Bank of New York Building,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/48-wall-street.jpg/250px-48-wall-street.jpg,1928 (1928),"48 Wall Street, known at one time as the Bank of New York Building was built in 1928 on land used by the bank since 1797, on the corner of Wall Street and William Street in New York City's Financial District.[1] Its former banking hall has been modified to house the Museum of American Finance, which moved there in October 2007.Immediately outside is the entrance for the Wall Street subway station (2 3 trains) on the IRT Broadway – Seventh Avenue Line.",,,"[""Office buildings completed in 1928"", ""Buildings and structures in Manhattan"", ""Buildings and structures on the National Register of Historic Places in Manhattan"", ""Landmarks in Manhattan"", ""Wall Street"", ""Financial District, Manhattan""]",,"48 Wall Street, Manhattan, New York City, New York","48 Wall Street, known at one time as the Bank of New York Building was built in 1928 on land used by the bank since 1797, on the corner of Wall Street and William Street in New York City's Financial District.[1] Its former banking hall has been modified to house the Museum of American Finance, which moved there in October 2007.Immediately outside is the entrance for the Wall Street subway station (2 3 trains) on the IRT Broadway – Seventh Avenue Line."
Battery Park Control House,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bowling_Green_IRT_001.JPG/300px-Bowling_Green_IRT_001.JPG,1905,"Bowling Green is a station on the IRT Lexington Avenue Line of the New York City Subway, located at Broadway and Battery Place (at the Bowling Green), in the Financial District of Manhattan. It is served by the 4 train at all times and the 5 train at all times except late nights.",,Local,"[""Transport infrastructure completed in 1905"", ""Heins and LaFarge buildings"", ""IRT Lexington Avenue Line stations"", ""Landmarks in Manhattan"", ""Railway and subway stations on the National Register of Historic Places in Manhattan"", ""New York City Subway stations in Manhattan"", ""Railway stations opened in 1905""]",,,"Bowling Green is a station on the IRT Lexington Avenue Line of the New York City Subway, located at Broadway and Battery Place (at the Bowling Green), in the Financial District of Manhattan. It is served by the 4 train at all times and the 5 train at all times except late nights."
